Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-01-02,47372.84765625,48059.41066576087,47201.206903872284,47630.308784816574,12993228
2020-01-03,47630.30078125,48574.3247606982,47115.37861064189,48059.40259009009,15422255
2020-01-06,47630.30078125,47716.12114301802,46857.917525337834,47115.37861064189,10278951
2020-01-07,47887.7734375,48402.69573252688,47716.13267249104,47801.953054995516,10009778
2020-01-08,48745.97265625,49260.89490261884,47973.58928669675,48231.050409881165,23501171
2020-01-09,50290.7578125,50290.7578125,49260.912942619456,50119.11700085324,24102579
2020-01-10,51063.12109375,51234.76183692227,50033.27663471639,50462.37849264706,16000170
2020-01-13,51492.21875,51492.21875,50719.835468749996,51148.93729166666,11359139
2020-01-14,51492.21875,52350.42239583333,51406.398385416665,51835.50020833333,16906295
2020-01-15,50634.02734375,51148.94965572034,50548.20695842161,51063.129270391946,14300928
2020-01-16,52092.96484375,52092.96484375,50634.018546643325,50719.83891706137,14381774
2020-01-17,52607.8828125,53208.62535685155,52350.42172206363,53122.80499337276,16025661
2020-01-20,53551.9140625,53895.19556290064,52951.171436798875,53208.63256209935,12528855
2020-01-21,52693.70703125,53551.910728827366,52522.06629173453,53208.62924979642,11142693
2020-01-22,53466.0859375,53723.54702548154,51835.49904695024,51921.319409610755,15339565
2020-01-23,52178.79296875,53036.996800472865,52092.972585577714,53036.996800472865,14916555
2020-01-28,50462.3828125,50977.30508609694,50033.28091783588,50977.30508609694,23664541
2020-01-29,50719.8515625,51234.77391338832,50462.390387055835,50719.8515625,16446102
2020-01-30,49089.25390625,50462.37988964161,48745.9724104021,50462.37988964161,20821939
2020-01-31,48402.6796875,50119.086768617024,48402.6796875,49604.16464428192,19749457
2020-02-03,49089.25390625,49260.89465417395,47372.84642701049,47630.30754889642,23995260
2020-02-04,50548.203125,50634.02350382003,48745.97516977929,49003.43630623939,21800192
2020-02-05,51063.12109375,51663.863694852946,50548.19886423319,51492.22295168068,19278165
2020-02-06,52436.25390625,52436.25390625,51234.76854669599,51578.05007799713,14727159
2020-02-07,51835.5,52522.062913907284,51234.757450331126,52436.242549668874,16402493
2020-02-10,51234.765625,51320.586002931326,50719.843357412065,50805.66373534338,13107121
2020-02-11,51406.41015625,52092.97323012312,51234.76938778172,51320.58977201586,11071231
