iter	RMSE
0	14403.56534
1	13894.40502
2	13422.03226
3	12973.12257
4	12551.87879
5	12154.82794
6	11781.82475
7	11432.24223
8	11098.30091
9	10793.57097
10	10510.25096
11	10239.70493
12	9973.826079
13	9720.822239
14	9478.020742
15	9258.746345
16	9054.672343
17	8824.273048
18	8610.181463
19	8410.132772
20	8224.863509
21	8052.587473
22	7892.357937
23	7740.303134
24	7597.977389
25	7468.049611
26	7340.921629
27	7217.597738
28	7099.378607
29	6999.46001
30	6903.37094
31	6806.221233
32	6724.077711
33	6641.812596
34	6568.164407
35	6497.816545
36	6434.486017
37	6373.923534
38	6310.683994
39	6252.456778
40	6198.310351
41	6149.040116
42	6095.947938
43	6054.661688
44	6007.411626
45	5973.232792
46	5941.087406
47	5905.709785
48	5870.67
49	5839.4729
50	5810.774552
51	5781.446566
52	5753.217043
53	5722.81968
54	5691.786102
55	5663.436719
56	5637.875176
57	5617.740223
58	5599.171198
59	5568.762442
60	5541.924587
61	5518.126226
62	5499.384276
63	5477.970631
64	5461.246308
65	5444.245418
66	5427.506597
67	5410.714806
68	5393.822008
69	5379.286399
70	5364.782842
71	5354.769318
72	5341.044187
73	5327.090722
74	5316.291882
75	5304.272189
76	5292.830126
77	5280.037671
78	5265.265475
79	5255.339103
80	5245.874916
81	5239.686936
82	5226.234599
83	5220.025979
84	5206.309103
85	5198.12147
86	5187.888357
87	5179.501593
88	5169.814533
89	5161.610596
90	5154.086177
91	5146.900436
92	5141.322296
93	5135.605968
94	5124.948652
95	5117.932229
96	5109.937134
97	5103.583904
98	5096.881661
99	5081.411327
100	5075.663129
101	5067.610276
102	5056.089673
103	5049.21277
104	5043.780062
105	5036.594527
106	5030.850349
107	5021.195005
108	5013.164915
109	5007.074055
110	5001.722554
111	4986.808753
112	4983.741622
113	4976.079995
114	4970.362177
115	4958.841711
116	4951.78653
117	4947.518175
118	4942.036416
119	4934.512733
120	4928.74957
121	4925.836872
122	4920.084902
123	4913.127164
124	4908.669472
125	4905.47251
126	4900.033474
127	4894.943729
128	4892.630941
129	4887.288401
130	4881.374565
131	4877.423159
132	4873.386023
133	4862.825815
134	4857.737437
135	4852.077908
136	4847.346843
137	4836.076525
138	4831.109843
139	4826.836288
140	4820.852125
141	4816.061226
142	4814.289193
143	4810.549932
144	4807.34023
145	4801.148282
146	4795.748772
147	4789.39613
148	4782.345758
149	4776.814519
150	4768.683961
151	4764.411008
152	4760.550471
153	4756.627347
154	4753.464934
155	4751.282971
156	4747.606217
157	4742.696136
158	4738.674677
159	4735.137847
160	4727.74417
161	4722.745313
162	4720.05564
163	4717.27834
164	4715.015933
165	4712.646889
166	4708.930649
167	4703.980514
168	4700.373596
169	4694.909138
170	4691.392095
171	4688.592199
172	4686.52929
173	4683.67387
174	4681.375237
175	4675.706425
176	4672.774061
177	4667.843091
178	4664.056055
179	4661.148898
180	4657.745063
181	4655.003955
182	4652.668446
183	4647.837619
184	4643.983382
185	4638.757434
186	4634.936858
187	4632.000663
188	4627.931267
189	4622.075656
190	4618.561349
191	4616.172893
192	4612.587574
193	4610.927534
194	4609.20665
195	4605.097344
196	4602.674726
197	4599.200513
198	4594.963507
199	4591.021131
200	4589.677036
201	4588.015842
202	4586.059532
203	4582.649321
204	4581.119353
205	4578.778306
206	4576.936408
207	4575.009986
208	4572.320394
209	4570.102771
210	4567.820908
211	4562.883018
212	4560.978688
213	4558.488822
214	4553.681853
215	4550.907471
216	4549.373467
217	4546.926532
218	4544.100442
219	4540.997876
220	4537.84459
221	4536.058104
222	4533.993973
223	4530.493399
224	4527.7096
225	4525.272779
226	4523.300375
227	4520.074109
228	4516.658241
229	4512.397939
230	4508.492781
231	4506.076081
232	4503.685294
233	4502.510445
234	4499.546895
235	4498.010815
236	4495.546477
237	4493.324187
238	4491.983002
239	4489.356467
240	4486.807878
241	4484.945646
242	4482.407799
243	4479.826309
244	4477.317111
245	4475.161061
246	4472.812996
247	4469.708917
248	4467.657059
249	4465.473875
250	4463.756733
251	4462.772948
252	4460.53292
253	4457.851639
254	4455.204647
255	4453.253408
256	4449.602925
257	4446.891107
258	4444.939751
259	4441.572224
260	4438.84971
261	4436.393966
262	4435.29461
263	4433.196898
264	4432.010513
265	4430.190251
266	4427.15079
267	4425.680462
268	4423.6807
269	4420.976271
270	4418.84035
271	4415.562475
272	4414.40205
273	4412.5158
274	4411.035841
275	4409.25216
276	4408.215877
277	4405.993143
278	4404.363901
279	4400.613918
280	4399.020325
281	4395.229697
282	4394.103134
283	4391.358219
284	4389.868886
285	4387.918351
286	4386.609296
287	4384.75133
288	4383.119518
289	4381.807549
290	4380.773702
291	4379.367591
292	4378.304107
293	4375.857594
294	4374.627876
295	4373.497066
296	4372.022053
297	4369.593369
298	4368.845332
299	4366.922959
300	4365.567368
301	4363.712561
302	4362.230945
303	4360.545854
304	4358.8193
305	4357.504269
306	4355.668312
307	4354.393728
308	4351.070911
309	4349.382086
310	4347.44802
311	4345.106613
312	4343.675727
313	4342.15584
314	4339.078852
315	4337.829871
316	4336.164109
317	4332.618619
318	4330.79613
319	4329.328378
320	4328.266128
321	4326.451737
322	4325.233317
323	4323.482735
324	4321.195359
325	4319.045197
326	4318.508247
327	4317.704914
328	4315.18649
329	4311.915735
330	4308.66401
331	4307.69816
332	4306.665507
333	4305.33822
334	4303.982898
335	4302.431471
336	4300.66221
337	4298.648705
338	4297.554822
339	4295.584165
340	4294.149723
341	4291.781568
342	4290.386527
343	4289.654424
344	4287.548283
345	4287.006831
346	4285.807263
347	4284.952443
348	4283.347292
349	4281.667804
350	4280.495458
351	4278.650255
352	4277.012882
353	4274.716527
354	4273.737775
355	4272.53121
356	4271.800206
357	4270.513673
358	4268.666016
359	4268.25244
360	4267.618087
361	4266.151667
362	4265.003306
363	4263.762449
364	4262.872163
365	4262.690911
366	4261.924184
367	4260.426734
368	4258.318423
369	4256.04963
370	4255.353254
371	4254.635477
372	4253.776337
373	4252.705871
374	4251.263709
375	4250.655838
376	4248.895358
377	4247.327603
378	4245.647857
379	4244.550406
380	4242.757811
381	4241.28169
382	4240.044417
383	4239.13787
384	4238.3413
385	4237.076933
386	4235.676683
387	4234.691242
388	4233.801311
389	4231.864305
390	4230.44349
391	4229.374191
392	4228.235576
393	4226.887354
394	4225.59206
395	4223.876313
396	4223.011489
397	4222.433045
398	4220.177412
399	4218.629248
400	4217.465752
401	4216.357124
402	4214.749953
403	4214.081142
404	4213.041924
405	4212.433246
406	4210.562321
407	4210.535389
408	4209.21721
409	4207.571854
410	4206.498933
411	4204.918535
412	4204.191643
413	4203.352673
414	4202.500318
415	4201.773964
416	4200.969666
417	4200.032499
418	4199.233436
419	4198.223621
420	4197.731911
421	4197.140488
422	4196.261516
423	4195.643079
424	4194.53683
425	4193.474185
426	4192.909292
427	4192.408541
428	4191.346126
429	4190.498692
430	4189.296266
431	4188.542625
432	4187.791256
433	4187.346055
434	4186.325637
435	4185.063201
436	4183.63526
437	4182.068417
438	4180.798258
439	4180.029847
440	4178.917878
441	4177.868384
442	4176.773262
443	4176.302967
444	4174.911156
445	4174.893647
446	4174.142661
447	4173.396508
448	4172.871225
449	4170.698674
450	4169.200286
451	4169.183574
452	4167.936904
453	4166.842597
454	4165.412732
455	4164.037872
456	4162.807767
457	4162.081272
458	4162.006445
459	4161.36841
460	4158.865534
461	4158.144477
462	4157.229206
463	4155.794872
464	4154.639538
465	4154.071796
466	4153.32797
467	4152.246451
468	4151.721378
469	4150.992865
470	4150.547415
471	4149.317532
472	4148.531026
473	4147.190092
474	4146.668853
475	4145.786534
476	4144.902658
477	4143.66346
478	4142.894404
479	4141.484063
480	4140.31188
481	4138.960889
482	4138.071009
483	4136.045109
484	4135.904559
485	4135.885557
486	4134.681318
487	4133.604163
488	4132.705614
489	4132.586882
490	4130.851204
491	4130.123981
492	4128.613471
493	4127.694809
494	4126.641817
495	4126.076833
496	4125.560105
497	4124.415713
498	4122.048385
499	4120.733518
