iter	Passed	Remaining
0	170	85021
1	340	84707
2	508	84307
3	681	84469
4	841	83271
5	997	82153
6	1156	81440
7	1316	80936
8	1500	81850
9	1691	82877
10	1850	82243
11	2010	81757
12	2182	81757
13	2379	82607
14	2554	82590
15	2721	82330
16	2868	81509
17	3018	80818
18	3259	82523
19	3425	82220
20	3544	80838
21	3685	80076
22	3842	79695
23	3973	78799
24	4105	77997
25	4242	77340
26	4384	76816
27	4538	76512
28	4697	76288
29	4865	76222
30	5024	76017
31	5215	76270
32	5390	76276
33	5554	76131
34	5694	75655
35	5830	75150
36	5956	74541
37	6106	74242
38	6249	73874
39	6412	73747
40	6581	73680
41	6720	73285
42	6861	72918
43	7006	72616
44	7210	72902
45	7368	72727
46	7497	72263
47	7658	72118
48	7842	72186
49	7995	71961
50	8160	71840
51	8388	72272
52	8610	72618
53	8791	72610
54	8960	72499
55	9115	72270
56	9257	71947
57	9430	71865
58	9599	71748
59	9761	71585
60	9941	71545
61	10117	71476
62	10268	71229
63	10427	71037
64	10613	71028
65	10771	70833
66	10949	70761
67	11116	70625
68	11274	70425
69	11447	70320
70	11619	70207
71	11776	70005
72	11935	69813
73	12078	69534
74	12248	69410
75	12436	69383
76	12605	69247
77	12746	68964
78	12883	68658
79	13037	68444
80	13181	68184
81	13359	68101
82	13536	68010
83	13685	67778
84	13844	67591
85	13994	67369
86	14161	67225
87	14310	67000
88	14474	66844
89	14627	66637
90	14783	66445
91	14940	66260
92	15067	65940
93	15234	65801
94	15419	65735
95	15570	65527
96	15720	65313
97	15871	65104
98	16006	64836
99	16168	64672
100	16338	64547
101	16495	64365
102	16654	64193
103	16864	64213
104	17033	64078
105	17204	63949
106	17371	63803
107	17518	63584
108	17680	63423
109	17840	63252
110	18000	63083
111	18134	62822
112	18284	62619
113	18450	62473
114	18621	62342
115	18777	62159
116	18952	62042
117	19117	61889
118	19310	61825
119	19472	61663
120	19626	61473
121	19796	61337
122	19968	61203
123	20132	61046
124	20312	60936
125	20490	60821
126	20665	60695
127	20847	60589
128	21017	60445
129	21180	60283
130	21354	60152
131	21504	59950
132	21666	59786
133	21822	59605
134	21975	59414
135	22132	59235
136	22292	59067
137	22433	58845
138	22582	58648
139	22727	58442
140	22904	58317
141	23053	58119
142	23212	57950
143	23390	57826
144	23561	57686
145	23737	57555
146	23875	57334
147	24022	57135
148	24187	56979
149	24339	56791
150	24501	56628
